Product_id,Product_name,Product_category,Remaining_Stocks,Reorder_quantity,Stock_status
1054,Product_54,Electronics,2772,24,Full
1055,Product_55,Clothing,1908,137,Medium
1056,Product_56,Electronics,509,105,Medium
1057,Product_57,Electronics,2492,245,Full
1058,Product_58,Clothing,868,282,Medium
1059,Product_59,Appliances,3790,38,Full
1060,Product_60,Appliances,759,179,Medium
1061,Product_61,Toys,4340,216,Full
1062,Product_62,Appliances,3242,51,Full
1063,Product_63,Appliances,1838,251,Medium
1064,Product_64,Electronics,2766,161,Full
1065,Product_65,Household,3167,179,Full
1066,Product_66,Household,1503,158,Medium
1067,Product_67,Appliances,2885,51,Full
1068,Product_68,Electronics,4982,106,Full
1069,Product_69,Toys,3896,166,Full
1070,Product_70,Household,4413,113,Full
1071,Product_71,Appliances,2356,255,Full
1072,Product_72,Household,2009,103,Full
1073,Product_73,Toys,3964,15,Full
1074,Product_74,Household,357,196,Low
1075,Product_75,Clothing,1893,54,Medium
1076,Product_76,Electronics,3590,160,Full
1077,Product_77,Toys,3382,136,Full
1078,Product_78,Toys,2566,28,Full
1079,Product_79,Electronics,3989,68,Full
1080,Product_80,Toys,4576,295,Full
1081,Product_81,Household,740,148,Medium
1082,Product_82,Appliances,1092,55,Medium
1083,Product_83,Appliances,1708,95,Medium
1084,Product_84,Household,3345,280,Full
1085,Product_85,Clothing,1194,157,Medium
1086,Product_86,Toys,2226,103,Full
1087,Product_87,Household,1724,258,Medium
1088,Product_88,Household,3706,151,Full
1089,Product_89,Clothing,4452,40,Full
1090,Product_90,Electronics,673,89,Medium
1091,Product_91,Clothing,2101,167,Full
1092,Product_92,Clothing,2347,105,Full
1093,Product_93,Household,1480,120,Medium
1094,Product_94,Clothing,4306,48,Full
1095,Product_95,Electronics,141,204,Low
1096,Product_96,Household,1759,203,Medium
1097,Product_97,Household,1162,276,Medium
1098,Product_98,Clothing,1297,199,Medium
1099,Product_99,Clothing,2036,52,Full
1100,Product_100,Clothing,4747,65,Full
1101,Product_101,Household,953,71,Medium
1102,Product_102,Electronics,3322,130,Full
1103,Product_103,Toys,2921,131,Full
1104,Product_104,Toys,1046,271,Medium
1105,Product_105,Clothing,3969,146,Full
1106,Product_106,Appliances,2467,251,Full
1107,Product_107,Appliances,1670,144,Medium
1108,Product_108,Electronics,4243,106,Full
1109,Product_109,Household,1888,18,Medium
1110,Product_110,Household,4017,151,Full
1111,Product_111,Household,1524,73,Medium
1112,Product_112,Clothing,93,278,Low
1113,Product_113,Toys,4932,89,Full
1114,Product_114,Toys,3912,266,Full
1115,Product_115,Electronics,1425,247,Medium
1116,Product_116,Toys,4275,247,Full
1117,Product_117,Electronics,2548,163,Full
1118,Product_118,Household,2150,299,Full
1119,Product_119,Household,4428,130,Full
1120,Product_120,Appliances,2514,127,Full
1121,Product_121,Toys,1129,156,Medium
1122,Product_122,Household,2307,147,Full
1123,Product_123,Toys,4161,62,Full
1124,Product_124,Toys,3591,279,Full
1125,Product_125,Appliances,4680,35,Full
1126,Product_126,Household,1296,34,Medium
1127,Product_127,Toys,235,196,Low
1128,Product_128,Clothing,1795,248,Medium
1129,Product_129,Toys,4742,49,Full
1130,Product_130,Electronics,4542,52,Full
1131,Product_131,Electronics,549,28,Medium
1132,Product_132,Household,4982,40,Full
1133,Product_133,Household,772,120,Medium
1134,Product_134,Electronics,4770,75,Full
1135,Product_135,Toys,222,130,Low
1136,Product_136,Electronics,2555,137,Full
1137,Product_137,Electronics,3486,188,Full
1138,Product_138,Clothing,2041,260,Full
1139,Product_139,Household,120,271,Low
1140,Product_140,Toys,2837,43,Full
1141,Product_141,Appliances,4773,155,Full
1142,Product_142,Appliances,3229,47,Full
1143,Product_143,Electronics,4521,177,Full
1144,Product_144,Clothing,3935,133,Full
1145,Product_145,Appliances,1270,132,Medium
1146,Product_146,Electronics,3806,186,Full
1147,Product_147,Appliances,4735,283,Full
1148,Product_148,Clothing,4247,103,Full
1149,Product_149,Household,2712,61,Full
1150,Product_150,Appliances,4146,168,Full
1151,Product_151,Electronics,2786,113,Full
1152,Product_152,Clothing,4216,218,Full
1153,Product_153,Clothing,208,138,Low
1154,Product_154,Electronics,1875,272,Medium
1155,Product_155,Toys,2125,107,Full
1156,Product_156,Household,1935,288,Medium
1157,Product_157,Toys,1738,155,Medium
1158,Product_158,Toys,3511,28,Full
1159,Product_159,Electronics,886,17,Medium
1160,Product_160,Clothing,1939,53,Medium
1161,Product_161,Household,4805,140,Full
1162,Product_162,Appliances,578,67,Medium
1163,Product_163,Household,1234,134,Medium
1164,Product_164,Toys,4965,243,Full
1165,Product_165,Household,948,48,Medium
1166,Product_166,Clothing,1683,67,Medium
1167,Product_167,Toys,2893,123,Full
1168,Product_168,Appliances,3767,136,Full
1169,Product_169,Clothing,956,281,Medium
1170,Product_170,Household,3231,113,Full
1171,Product_171,Household,1871,187,Medium
1172,Product_172,Electronics,1631,130,Medium
1173,Product_173,Clothing,353,96,Low
1174,Product_174,Appliances,4605,285,Full
1175,Product_175,Electronics,814,289,Medium
1176,Product_176,Toys,2303,245,Full
1177,Product_177,Toys,3108,86,Full
1178,Product_178,Electronics,4287,87,Full
1179,Product_179,Household,918,60,Medium
1180,Product_180,Appliances,3596,84,Full
1181,Product_181,Household,1525,238,Medium
1182,Product_182,Appliances,2095,146,Full
1183,Product_183,Appliances,4622,292,Full
1184,Product_184,Appliances,1515,214,Medium
1185,Product_185,Appliances,1309,139,Medium
1186,Product_186,Toys,2202,61,Full
1187,Product_187,Toys,4612,215,Full
1188,Product_188,Appliances,2245,193,Full
1189,Product_189,Clothing,2090,234,Full
1190,Product_190,Electronics,4835,169,Full
1191,Product_191,Appliances,1663,118,Medium
1192,Product_192,Appliances,2375,214,Full
1193,Product_193,Clothing,2159,31,Full
1194,Product_194,Appliances,2108,163,Full
1195,Product_195,Household,4651,97,Full
1196,Product_196,Electronics,3234,146,Full
1197,Product_197,Electronics,276,208,Low
1198,Product_198,Appliances,3391,295,Full
1199,Product_199,Toys,1909,182,Medium
1200,Product_200,Clothing,3439,223,Full
1201,Product_201,Electronics,4611,70,Full
1202,Product_202,Electronics,695,135,Medium
1203,Product_203,Electronics,1540,255,Medium
1204,Product_204,Appliances,618,163,Medium
1205,Product_205,Toys,3279,141,Full
1206,Product_206,Appliances,312,149,Low
1207,Product_207,Electronics,2980,174,Full
1208,Product_208,Toys,3970,151,Full
1209,Product_209,Household,3775,48,Full
1210,Product_210,Household,3730,66,Full
1211,Product_211,Electronics,2208,95,Full
1212,Product_212,Toys,4971,20,Full
1213,Product_213,Appliances,4008,38,Full
1214,Product_214,Clothing,2005,294,Full
1215,Product_215,Toys,2566,294,Full
1216,Product_216,Toys,4235,101,Full
1217,Product_217,Electronics,1146,209,Medium
1218,Product_218,Toys,2601,231,Full
1219,Product_219,Toys,1618,286,Medium
1220,Product_220,Electronics,1218,207,Medium
1221,Product_221,Clothing,4835,110,Full
1222,Product_222,Household,913,58,Medium
1223,Product_223,Toys,2942,290,Full
1224,Product_224,Appliances,334,260,Low
1225,Product_225,Electronics,2236,47,Full
1226,Product_226,Household,2618,176,Full
1227,Product_227,Appliances,868,248,Medium
1228,Product_228,Appliances,3508,36,Full
1229,Product_229,Toys,4710,274,Full
1230,Product_230,Electronics,929,239,Medium
1231,Product_231,Household,4076,219,Full
1232,Product_232,Electronics,3116,272,Full
1233,Product_233,Toys,3622,28,Full
1234,Product_234,Clothing,1574,174,Medium
1235,Product_235,Toys,3546,131,Full
1236,Product_236,Clothing,4667,38,Full
1237,Product_237,Electronics,2232,77,Full
1238,Product_238,Toys,1941,205,Medium
1239,Product_239,Clothing,1304,232,Medium
1240,Product_240,Household,4441,171,Full
1241,Product_241,Appliances,1896,118,Medium
1242,Product_242,Household,4194,104,Full
1243,Product_243,Household,3427,20,Full
1244,Product_244,Clothing,4373,243,Full
1245,Product_245,Household,4563,290,Full
1246,Product_246,Household,4319,42,Full
1247,Product_247,Appliances,4949,249,Full
1248,Product_248,Clothing,1652,182,Medium
1249,Product_249,Household,2903,209,Full
1250,Product_250,Appliances,728,102,Medium
1251,Product_251,Toys,2056,104,Full
1252,Product_252,Household,664,40,Medium
1253,Product_253,Clothing,4528,40,Full
1254,Product_254,Clothing,1109,139,Medium
1255,Product_255,Electronics,4480,114,Full
1256,Product_256,Appliances,3263,114,Full
1257,Product_257,Appliances,2569,269,Full
1258,Product_258,Toys,35,278,Low
1259,Product_259,Appliances,1469,18,Medium
1260,Product_260,Toys,3063,216,Full
1261,Product_261,Household,481,38,Low
1262,Product_262,Appliances,140,128,Low
1263,Product_263,Electronics,3036,185,Full
1264,Product_264,Toys,3058,68,Full
1265,Product_265,Household,2951,11,Full
1266,Product_266,Toys,4081,195,Full
1267,Product_267,Electronics,1398,288,Medium
1268,Product_268,Clothing,1190,71,Medium
1269,Product_269,Toys,3372,170,Full
1270,Product_270,Appliances,3634,69,Full
1271,Product_271,Appliances,4411,139,Full
1272,Product_272,Clothing,161,45,Low
1273,Product_273,Household,1954,173,Medium
1274,Product_274,Household,4599,117,Full
1275,Product_275,Appliances,3487,23,Full
1276,Product_276,Electronics,4183,110,Full
1277,Product_277,Toys,4071,63,Full
1278,Product_278,Appliances,3694,151,Full
1279,Product_279,Clothing,4554,230,Full
1280,Product_280,Household,3248,263,Full
1281,Product_281,Appliances,2016,102,Full
1282,Product_282,Household,1521,55,Medium
1283,Product_283,Appliances,4844,225,Full
1284,Product_284,Electronics,3832,126,Full
1285,Product_285,Toys,2500,222,Full
1286,Product_286,Appliances,696,218,Medium
1287,Product_287,Toys,859,216,Medium
1288,Product_288,Appliances,103,58,Low
1289,Product_289,Appliances,996,267,Medium
1290,Product_290,Clothing,3796,110,Full
1291,Product_291,Toys,1229,162,Medium
1292,Product_292,Electronics,2109,67,Full
1293,Product_293,Clothing,1515,116,Medium
1294,Product_294,Clothing,4309,141,Full
1295,Product_295,Clothing,4223,154,Full
1296,Product_296,Household,3414,85,Full
1297,Product_297,Clothing,1498,140,Medium
1298,Product_298,Toys,435,270,Low
1299,Product_299,Household,3004,217,Full
1300,Product_300,Toys,1444,19,Medium
1301,Product_301,Toys,2746,266,Full
1302,Product_302,Clothing,421,74,Low
1303,Product_303,Clothing,4069,67,Full
1304,Product_304,Household,3581,163,Full
1305,Product_305,Appliances,2134,171,Full
1306,Product_306,Household,359,71,Low
1307,Product_307,Household,2193,118,Full
1308,Product_308,Appliances,3999,284,Full
1309,Product_309,Toys,4963,56,Full
1310,Product_310,Toys,348,132,Low
1311,Product_311,Appliances,2927,40,Full
1312,Product_312,Electronics,4584,235,Full
1313,Product_313,Clothing,3970,27,Full
1314,Product_314,Electronics,1490,256,Medium
1315,Product_315,Appliances,2986,121,Full
1316,Product_316,Electronics,3385,233,Full
1317,Product_317,Household,2045,175,Full
1318,Product_318,Household,2916,58,Full
1319,Product_319,Household,4158,79,Full
1320,Product_320,Clothing,2937,119,Full
1321,Product_321,Clothing,4694,42,Full
1322,Product_322,Electronics,1053,199,Medium
1323,Product_323,Electronics,1045,14,Medium
1324,Product_324,Clothing,3511,109,Full
1325,Product_325,Clothing,1581,66,Medium
1326,Product_326,Toys,1819,280,Medium
1327,Product_327,Electronics,1344,43,Medium
1328,Product_328,Household,2913,110,Full
1329,Product_329,Appliances,4634,157,Full
1330,Product_330,Toys,4013,142,Full
1331,Product_331,Electronics,2447,99,Full
1332,Product_332,Toys,4630,77,Full
1333,Product_333,Electronics,3656,266,Full
1334,Product_334,Household,929,177,Medium
1335,Product_335,Toys,2585,167,Full
1336,Product_336,Household,3659,32,Full
1337,Product_337,Toys,4681,115,Full
1338,Product_338,Household,4886,32,Full
1339,Product_339,Toys,3998,297,Full
1340,Product_340,Electronics,1404,261,Medium
1341,Product_341,Electronics,1012,80,Medium
1342,Product_342,Electronics,1571,83,Medium
1343,Product_343,Appliances,3514,43,Full
1344,Product_344,Appliances,4659,239,Full
1345,Product_345,Clothing,1950,26,Medium
1346,Product_346,Electronics,276,116,Low
1347,Product_347,Clothing,706,245,Medium
1348,Product_348,Household,957,57,Medium
1349,Product_349,Electronics,565,237,Medium
1350,Product_350,Electronics,2010,292,Full
1351,Product_351,Appliances,194,72,Low
1352,Product_352,Household,4551,38,Full
1353,Product_353,Clothing,1657,96,Medium
1354,Product_354,Electronics,535,204,Medium
1355,Product_355,Electronics,3101,112,Full
1356,Product_356,Household,1748,85,Medium
1357,Product_357,Household,1333,130,Medium
1358,Product_358,Toys,602,137,Medium
1359,Product_359,Toys,1572,64,Medium
1360,Product_360,Household,3442,115,Full
1361,Product_361,Toys,4862,172,Full
1362,Product_362,Electronics,4468,142,Full
1363,Product_363,Household,2876,23,Full
1364,Product_364,Toys,3012,180,Full
1365,Product_365,Electronics,1086,45,Medium
1366,Product_366,Appliances,4009,14,Full
1367,Product_367,Appliances,951,269,Medium
1368,Product_368,Household,2507,118,Full
1369,Product_369,Household,4214,201,Full
1370,Product_370,Clothing,610,11,Medium
1371,Product_371,Toys,155,276,Low
1372,Product_372,Clothing,4046,149,Full
1373,Product_373,Clothing,1014,23,Medium
1374,Product_374,Toys,4176,225,Full
1375,Product_375,Household,1269,76,Medium
1376,Product_376,Household,3658,221,Full
1377,Product_377,Toys,2712,182,Full
1378,Product_378,Household,1067,80,Medium
1379,Product_379,Toys,1777,103,Medium
1380,Product_380,Appliances,1840,101,Medium
1381,Product_381,Appliances,1155,12,Medium
1382,Product_382,Appliances,1175,53,Medium
1383,Product_383,Appliances,1837,163,Medium
1384,Product_384,Electronics,2432,273,Full
1385,Product_385,Electronics,215,213,Low
1386,Product_386,Toys,1407,238,Medium
1387,Product_387,Appliances,2291,94,Full
1388,Product_388,Clothing,2970,270,Full
1389,Product_389,Toys,2887,190,Full
1390,Product_390,Clothing,3570,204,Full
1391,Product_391,Clothing,640,190,Medium
1392,Product_392,Household,1463,135,Medium
1393,Product_393,Appliances,2776,273,Full
1394,Product_394,Household,2,277,Low
1395,Product_395,Toys,4013,183,Full
1396,Product_396,Appliances,1790,112,Medium
1397,Product_397,Household,224,50,Low
1398,Product_398,Appliances,4922,189,Full
1399,Product_399,Toys,310,90,Low
1400,Product_400,Electronics,4184,219,Full
1401,Product_401,Toys,3282,27,Full
1402,Product_402,Appliances,2657,218,Full
1403,Product_403,Household,2856,138,Full
1404,Product_404,Appliances,126,255,Low
1405,Product_405,Household,4963,253,Full
1406,Product_406,Household,3868,122,Full
1407,Product_407,Electronics,3952,121,Full
1408,Product_408,Electronics,1380,32,Medium
1409,Product_409,Electronics,2883,259,Full
1410,Product_410,Toys,431,292,Low
1411,Product_411,Electronics,623,219,Medium
1412,Product_412,Electronics,526,14,Medium
1413,Product_413,Toys,653,109,Medium
1414,Product_414,Clothing,4210,118,Full
1415,Product_415,Electronics,2603,214,Full
1416,Product_416,Toys,4233,107,Full
1417,Product_417,Clothing,4739,191,Full
1418,Product_418,Toys,3377,145,Full
1419,Product_419,Household,1669,291,Medium
1420,Product_420,Toys,2490,121,Full
1421,Product_421,Household,4452,54,Full
1422,Product_422,Household,4721,22,Full
1423,Product_423,Toys,3439,188,Full
1424,Product_424,Clothing,2630,76,Full
1425,Product_425,Electronics,3108,136,Full
1426,Product_426,Household,3372,118,Full
1427,Product_427,Electronics,459,291,Low
1428,Product_428,Appliances,2205,55,Full
1429,Product_429,Household,4481,267,Full
1430,Product_430,Appliances,848,240,Medium
1431,Product_431,Clothing,1796,287,Medium
1432,Product_432,Appliances,4035,167,Full
1433,Product_433,Electronics,2189,184,Full
1434,Product_434,Electronics,1444,15,Medium
1435,Product_435,Appliances,2763,15,Full
1436,Product_436,Household,4434,100,Full
1437,Product_437,Appliances,2295,93,Full
1438,Product_438,Toys,3629,263,Full
1439,Product_439,Electronics,3853,263,Full
1440,Product_440,Clothing,1564,184,Medium
1441,Product_441,Household,1489,77,Medium
1442,Product_442,Household,2501,190,Full
1443,Product_443,Toys,2286,209,Full
1444,Product_444,Electronics,3234,13,Full
1445,Product_445,Appliances,1590,143,Medium
1446,Product_446,Household,521,52,Medium
1447,Product_447,Electronics,3937,115,Full
1448,Product_448,Household,3166,190,Full
1449,Product_449,Clothing,3665,39,Full
1450,Product_450,Toys,678,83,Medium
1451,Product_451,Household,2448,74,Full
1452,Product_452,Toys,1726,247,Medium
1453,Product_453,Clothing,1695,121,Medium
1454,Product_454,Clothing,2672,36,Full
1455,Product_455,Toys,3319,169,Full
1456,Product_456,Toys,2064,89,Full
1457,Product_457,Clothing,1652,107,Medium
1458,Product_458,Household,4736,242,Full
1459,Product_459,Household,2306,21,Full
1460,Product_460,Appliances,257,138,Low
1461,Product_461,Clothing,3140,155,Full
1462,Product_462,Electronics,2620,31,Full
1463,Product_463,Appliances,3592,218,Full
1464,Product_464,Toys,767,167,Medium
1465,Product_465,Toys,2337,101,Full
1466,Product_466,Clothing,3622,90,Full
1467,Product_467,Toys,1729,216,Medium
1468,Product_468,Appliances,2874,42,Full
1469,Product_469,Electronics,3330,116,Full
1470,Product_470,Toys,281,75,Low
1471,Product_471,Toys,3947,144,Full
1472,Product_472,Appliances,4655,271,Full
1473,Product_473,Toys,4874,156,Full
1474,Product_474,Appliances,4572,195,Full
1475,Product_475,Appliances,586,208,Medium
1476,Product_476,Clothing,2792,262,Full
1477,Product_477,Toys,1968,290,Medium
1478,Product_478,Electronics,3241,212,Full
1479,Product_479,Household,3086,286,Full
1480,Product_480,Toys,2924,83,Full
1481,Product_481,Appliances,765,180,Medium
1482,Product_482,Toys,1586,294,Medium
1483,Product_483,Toys,3768,99,Full
1484,Product_484,Electronics,2065,107,Full
1485,Product_485,Appliances,3801,262,Full
1486,Product_486,Clothing,1862,20,Medium
1487,Product_487,Electronics,3123,38,Full
1488,Product_488,Electronics,2318,44,Full
1489,Product_489,Appliances,1893,172,Medium
1490,Product_490,Clothing,2766,222,Full
1491,Product_491,Electronics,2278,179,Full
1492,Product_492,Clothing,4778,288,Full
1493,Product_493,Electronics,2205,152,Full
1494,Product_494,Electronics,4282,129,Full
1495,Product_495,Clothing,998,181,Medium
1496,Product_496,Toys,899,284,Medium
1497,Product_497,Appliances,720,271,Medium
1498,Product_498,Toys,89,193,Low
1499,Product_499,Electronics,776,69,Medium
1500,Product_500,Household,4826,130,Full
1501,Product_501,Toys,2537,76,Full
1502,Product_502,Clothing,4446,152,Full
1503,Product_503,Electronics,3000,281,Full
1504,Product_504,Toys,3477,277,Full
1505,Product_505,Clothing,1023,92,Medium
1506,Product_506,Clothing,3862,97,Full
1507,Product_507,Appliances,1869,297,Medium
1508,Product_508,Electronics,3275,187,Full
1509,Product_509,Appliances,3477,55,Full
1510,Product_510,Toys,1971,73,Medium
1511,Product_511,Toys,4939,92,Full
1512,Product_512,Toys,2551,286,Full
1513,Product_513,Appliances,308,83,Low
1514,Product_514,Household,1837,98,Medium
1515,Product_515,Household,837,75,Medium
1516,Product_516,Appliances,3106,138,Full
1517,Product_517,Appliances,1242,95,Medium
1518,Product_518,Clothing,4870,95,Full
1519,Product_519,Household,1449,239,Medium
1520,Product_520,Toys,4933,200,Full
1521,Product_521,Household,1755,230,Medium
1522,Product_522,Clothing,2364,145,Full
1523,Product_523,Toys,2014,97,Full
1524,Product_524,Toys,829,40,Medium
1525,Product_525,Clothing,565,71,Medium
1526,Product_526,Appliances,4014,63,Full
1527,Product_527,Clothing,1221,264,Medium
1528,Product_528,Appliances,4749,65,Full
1529,Product_529,Electronics,1833,208,Medium
1530,Product_530,Household,3813,200,Full
1531,Product_531,Toys,1184,115,Medium
1532,Product_532,Electronics,4648,184,Full
1533,Product_533,Household,2341,111,Full
1534,Product_534,Electronics,752,33,Medium
1535,Product_535,Household,255,205,Low
1536,Product_536,Household,3835,58,Full
1537,Product_537,Household,1548,188,Medium
1538,Product_538,Electronics,1783,85,Medium
1539,Product_539,Toys,3541,191,Full
1540,Product_540,Household,3435,297,Full
1541,Product_541,Household,1848,65,Medium
1542,Product_542,Clothing,554,281,Medium
1543,Product_543,Toys,2595,241,Full
1544,Product_544,Clothing,1510,169,Medium
1545,Product_545,Household,4703,170,Full
1546,Product_546,Electronics,4910,260,Full
1547,Product_547,Electronics,3549,177,Full
1548,Product_548,Electronics,4439,147,Full
1549,Product_549,Clothing,2621,225,Full
1550,Product_550,Electronics,3950,136,Full
1551,Product_551,Toys,4120,276,Full
1552,Product_552,Toys,4776,204,Full
1553,Product_553,Household,4034,280,Full
1554,Product_554,Electronics,1228,225,Medium
1555,Product_555,Toys,2573,259,Full
1556,Product_556,Toys,1265,108,Medium
1557,Product_557,Household,524,229,Medium
1558,Product_558,Electronics,579,188,Medium
1559,Product_559,Appliances,4979,23,Full
1560,Product_560,Clothing,3222,116,Full
1561,Product_561,Electronics,2476,239,Full
1562,Product_562,Household,1409,15,Medium
1563,Product_563,Electronics,2260,217,Full
1564,Product_564,Toys,4242,133,Full
1565,Product_565,Electronics,3931,221,Full
1566,Product_566,Toys,2154,161,Full
1567,Product_567,Clothing,3475,281,Full
1568,Product_568,Toys,2368,62,Full
1569,Product_569,Electronics,4125,291,Full
1570,Product_570,Electronics,1120,172,Medium
1571,Product_571,Toys,3341,55,Full
1572,Product_572,Electronics,2531,166,Full
1573,Product_573,Household,2609,122,Full
1574,Product_574,Electronics,2988,274,Full
1575,Product_575,Appliances,4216,224,Full
1576,Product_576,Electronics,3676,284,Full
1577,Product_577,Toys,427,186,Low
1578,Product_578,Appliances,118,144,Low
1579,Product_579,Clothing,4624,122,Full
1580,Product_580,Clothing,4448,58,Full
1581,Product_581,Toys,3066,134,Full
1582,Product_582,Household,2927,244,Full
1583,Product_583,Electronics,2182,183,Full
1584,Product_584,Appliances,2622,214,Full
1585,Product_585,Appliances,3526,141,Full
1586,Product_586,Toys,4283,188,Full
1587,Product_587,Electronics,4776,122,Full
1588,Product_588,Toys,4299,290,Full
1589,Product_589,Electronics,2923,68,Full
1590,Product_590,Appliances,1212,113,Medium
1591,Product_591,Clothing,1095,161,Medium
1592,Product_592,Electronics,4156,46,Full
1593,Product_593,Electronics,4527,213,Full
1594,Product_594,Appliances,110,271,Low
1595,Product_595,Appliances,1893,147,Medium
1596,Product_596,Electronics,1329,11,Medium
1597,Product_597,Clothing,2272,84,Full
1598,Product_598,Household,4645,11,Full
1599,Product_599,Household,3462,236,Full
1600,Product_600,Electronics,3875,133,Full
1601,Product_601,Clothing,4684,129,Full
1602,Product_602,Electronics,2764,267,Full
1603,Product_603,Toys,4318,296,Full
1604,Product_604,Household,4309,49,Full
1605,Product_605,Toys,3080,141,Full
1606,Product_606,Toys,206,280,Low
1607,Product_607,Toys,4426,203,Full
1608,Product_608,Appliances,4498,265,Full
1609,Product_609,Appliances,4563,216,Full
1610,Product_610,Electronics,1701,88,Medium
1611,Product_611,Appliances,1072,228,Medium
1612,Product_612,Electronics,975,78,Medium
1613,Product_613,Appliances,4734,296,Full
1614,Product_614,Clothing,946,201,Medium
1615,Product_615,Clothing,4912,174,Full
1616,Product_616,Clothing,4248,113,Full
1617,Product_617,Toys,3009,172,Full
1618,Product_618,Toys,4002,29,Full
1619,Product_619,Toys,3114,72,Full
1620,Product_620,Clothing,909,280,Medium
1621,Product_621,Household,3729,192,Full
1622,Product_622,Clothing,3390,226,Full
1623,Product_623,Electronics,1619,71,Medium
1624,Product_624,Electronics,4520,106,Full
1625,Product_625,Appliances,3242,118,Full
1626,Product_626,Electronics,1437,27,Medium
1627,Product_627,Toys,1526,95,Medium
1628,Product_628,Appliances,3376,101,Full
1629,Product_629,Toys,1376,198,Medium
1630,Product_630,Clothing,963,266,Medium
1631,Product_631,Household,3714,124,Full
1632,Product_632,Appliances,3645,14,Full
1633,Product_633,Clothing,33,162,Low
1634,Product_634,Appliances,703,84,Medium
1635,Product_635,Electronics,2563,135,Full
1636,Product_636,Appliances,976,199,Medium
1637,Product_637,Clothing,363,172,Low
1638,Product_638,Clothing,831,30,Medium
1639,Product_639,Toys,885,257,Medium
1640,Product_640,Clothing,3817,299,Full
1641,Product_641,Toys,2162,234,Full
1642,Product_642,Electronics,2667,88,Full
1643,Product_643,Toys,428,40,Low
1644,Product_644,Appliances,2207,78,Full
1645,Product_645,Appliances,3296,59,Full
1646,Product_646,Clothing,430,243,Low
1647,Product_647,Clothing,4869,236,Full
1648,Product_648,Appliances,4664,29,Full
1649,Product_649,Electronics,2708,63,Full
1650,Product_650,Toys,678,211,Medium
1651,Product_651,Clothing,2239,288,Full
1652,Product_652,Clothing,3103,236,Full
1653,Product_653,Clothing,4801,281,Full
1654,Product_654,Toys,4130,114,Full
1655,Product_655,Appliances,1887,239,Medium
1656,Product_656,Toys,1370,213,Medium
1657,Product_657,Appliances,1904,215,Medium
1658,Product_658,Toys,259,282,Low
1659,Product_659,Toys,3199,255,Full
1660,Product_660,Clothing,1764,73,Medium
1661,Product_661,Electronics,3007,16,Full
1662,Product_662,Household,4512,55,Full
1663,Product_663,Toys,4763,140,Full
1664,Product_664,Electronics,368,227,Low
1665,Product_665,Electronics,1311,95,Medium
1666,Product_666,Electronics,16,256,Low
1667,Product_667,Clothing,3232,72,Full
1668,Product_668,Appliances,1055,24,Medium
1669,Product_669,Toys,1404,178,Medium
1670,Product_670,Electronics,4147,219,Full
1671,Product_671,Clothing,3560,80,Full
1672,Product_672,Household,909,125,Medium
1673,Product_673,Clothing,2121,107,Full
1674,Product_674,Toys,3835,35,Full
1675,Product_675,Clothing,2714,52,Full
1676,Product_676,Appliances,1146,186,Medium
1677,Product_677,Toys,2245,48,Full
